,Date,Map,Team 1 ID,Team 1 Start Side,Team 1 Score,Team 1 Half 1 Score,Team 1 Half 2 Score,Team 1 Overtime Score,Team 2 ID,Team 2 Start Side,Team 2 Score,Team 2 Half 1 Score,Team 2 Half 2 Score,Team 2 Overtime Score,Match ID,HomeWin,HomeLastWin,VisitorLastWin,HomeWinStreak,VisitorWinStreak
4298,7/13/17,Train,7155,T,17,10,5,2,6431,CT,19,5,10,4,2312660/pnda-vs-eanix-esea-premier-season-25-north-america,False,True,True,1,1
4299,7/13/17,Train,6985,CT,12,8,4,0,7968,T,16,7,9,0,2312661/the-foundation-vs-anti-eco-esea-premier-season-25-north-america,False,False,True,0,1
4300,7/13/17,Cobblestone,7145,T,4,4,0,0,7701,CT,16,11,5,0,2312551/tengri-vs-imperial-hellcase-cup-5,False,False,True,0,4
4301,7/13/17,Train,7145,CT,2,2,0,0,7701,T,16,13,3,0,2312551/tengri-vs-imperial-hellcase-cup-5,False,False,True,0,5
4302,7/13/17,Train,7187,T,16,12,4,0,6343,CT,4,3,1,0,2312658/nexus-vs-euronics-binary-dragons-cup-7,True,False,True,0,2
4303,7/13/17,Mirage,7187,T,5,2,3,0,6343,CT,16,13,3,0,2312658/nexus-vs-euronics-binary-dragons-cup-7,False,True,False,1,0
4304,7/13/17,Cobblestone,7187,CT,16,13,3,0,6343,T,7,2,5,0,2312658/nexus-vs-euronics-binary-dragons-cup-7,True,False,True,0,1
4305,7/13/17,Train,4643,T,16,8,8,0,7965,CT,10,7,3,0,2312632/denial-vs-ex-synthetik-esea-premier-season-25-north-america,True,False,False,0,0
4306,7/13/17,Cache,5195,CT,10,5,5,0,7566,T,16,10,6,0,2312649/planetkey-vs-playing-ducks-esea-premier-season-25-europe,False,True,False,1,0
4307,7/13/17,Mirage,6758,CT,11,6,5,0,7898,T,16,9,7,0,2312304/team123-vs-pro100-esea-premier-season-25-europe,False,True,True,2,1
4308,7/13/17,Overpass,5974,T,10,3,7,0,4411,CT,16,12,4,0,2312351/clg-vs-nip-dreamhack-open-valencia-2017,False,False,False,0,0
4309,7/13/17,Overpass,5974,T,16,11,5,0,6673,CT,11,4,7,0,2312347/clg-vs-nrg-dreamhack-open-valencia-2017,True,False,False,0,0
4310,7/13/17,Cache,6758,CT,5,2,3,0,7187,T,16,13,3,0,2312650/team123-vs-nexus-esea-premier-season-25-europe,False,False,True,0,1
4311,7/13/17,Mirage,8064,T,8,7,1,0,5929,CT,16,8,8,0,2312132/undefined-vs-space-soldiers-esea-premier-season-25-europe,False,False,True,0,2
4312,7/13/17,Overpass,7557,T,8,6,2,0,7175,CT,16,9,7,0,2312348/misfits-vs-heroic-dreamhack-open-valencia-2017,False,False,False,0,0
4313,7/13/17,Inferno,4411,T,16,13,3,0,7613,CT,3,2,1,0,2312349/nip-vs-red-reserve-dreamhack-open-valencia-2017,True,True,False,1,0
4314,7/13/17,Cobblestone,7721,CT,16,13,3,0,8011,T,2,2,0,0,2312663/stormborns-vs-hadouken-amd-red-league-latam-north,True,False,False,0,0
4315,7/13/17,Mirage,7893,CT,16,10,6,0,6908,T,14,5,9,0,2312638/eclipseo-vs-five-csgo-super-league-2017-summer-season,True,True,False,1,0
4316,7/13/17,Overpass,7020,T,16,12,4,0,7331,CT,3,3,0,0,2312678/spirit-vs-igamecom-esea-premier-season-25-europe,True,False,False,0,0
4317,7/13/17,Inferno,7024,T,16,13,3,0,8076,CT,5,2,3,0,2312639/ehome-vs-ngag-csgo-super-league-2017-summer-season,True,True,True,3,1
4318,7/13/17,Inferno,6134,CT,16,13,3,0,6758,T,2,2,0,0,2312677/kinguin-vs-team123-esea-premier-season-25-europe,True,True,False,2,0
4319,7/13/17,Mirage,7716,T,11,6,5,0,6908,CT,16,9,7,0,2312636/uya-vs-five-wca-2017-china-qualifier-2,False,True,False,1,0
4320,7/13/17,Cache,7716,CT,16,8,8,0,6908,T,10,7,3,0,2312636/uya-vs-five-wca-2017-china-qualifier-2,True,False,True,0,1
4321,7/13/17,Train,5680,T,8,3,5,0,8044,CT,16,12,4,0,2312643/athletico-vs-riotous-raccoons-esea-premier-season-25-australia,False,False,True,0,1
4322,7/13/17,Nuke,6762,T,14,4,10,0,7797,CT,16,11,5,0,2312656/bpro-vs-spartak-binary-dragons-cup-7,False,False,True,0,1
4323,7/13/17,Mirage,6762,T,14,10,4,0,7797,CT,16,5,11,0,2312656/bpro-vs-spartak-binary-dragons-cup-7,False,False,True,0,2
4324,7/13/17,Train,8049,CT,16,10,6,0,7105,T,8,5,3,0,2312631/district-7-vs-blight-esea-premier-season-25-north-america,True,False,True,0,1
4325,7/13/17,Mirage,4865,CT,16,12,4,0,7893,T,6,3,3,0,2312635/new4-vs-eclipseo-wca-2017-china-qualifier-2,True,True,True,5,2
4326,7/13/17,Inferno,4865,CT,16,7,9,0,7893,T,10,8,2,0,2312635/new4-vs-eclipseo-wca-2017-china-qualifier-2,True,True,False,6,0
4327,7/13/17,Mirage,7339,CT,8,6,2,0,7175,T,16,9,7,0,2312350/kpi-vs-heroic-dreamhack-open-valencia-2017,False,True,True,1,1
4328,7/13/17,Cobblestone,8064,T,14,6,8,0,7020,CT,16,9,7,0,2312004/undefined-vs-spirit-esea-premier-season-25-europe,False,False,True,0,1
4329,7/13/17,Train,7973,CT,13,7,6,0,7974,T,16,8,8,0,2312665/node-vs-the-funk-esea-premier-season-25-australia,False,False,True,0,1
4330,7/13/17,Train,7217,CT,16,7,9,0,7977,T,8,8,0,0,2312662/subtle-vs-enter-esea-premier-season-25-north-america,True,False,False,0,0
4331,7/13/17,Inferno,6134,CT,13,5,8,0,6669,T,16,10,6,0,2312552/kinguin-vs-binary-dragons-hellcase-cup-5,False,True,False,3,0
4332,7/13/17,Cobblestone,6134,T,16,7,9,0,6669,CT,14,8,6,0,2312552/kinguin-vs-binary-dragons-hellcase-cup-5,True,False,True,0,1
4333,7/13/17,Nuke,6134,T,16,5,11,0,6669,CT,13,10,3,0,2312552/kinguin-vs-binary-dragons-hellcase-cup-5,True,True,False,1,0
4334,7/13/17,Cache,7716,T,13,4,9,0,7567,CT,16,11,5,0,2312640/uya-vs-boot-ds-csgo-super-league-2017-summer-season,False,True,True,1,3
4335,7/14/17,Train,7878,T,5,4,1,0,7977,CT,16,11,5,0,2312669/clg-academy-vs-enter-esea-premier-season-25-north-america,False,False,False,0,0
4336,7/14/17,Train,6431,CT,13,11,2,0,7958,T,16,4,12,0,2312666/eanix-vs-fge-esea-premier-season-25-north-america,False,True,True,2,1
4337,7/14/17,Train,7968,CT,16,5,11,0,7558,T,14,10,4,0,2312691/anti-eco-vs-ajax-esea-premier-season-25-north-america,True,True,True,2,1
4338,7/14/17,Inferno,7805,T,4,4,0,0,7839,CT,16,11,5,0,2312693/miso-vs-nspr-wca-2017-asia-pacific-open-qualifier,False,0,False,0,0
4339,7/14/17,Inferno,7865,CT,16,13,3,0,5412,T,2,2,0,0,2312659/havu-vs-esuba-binary-dragons-cup-7,True,True,False,4,0
4340,7/14/17,Cache,7865,CT,16,11,5,0,5412,T,10,4,6,0,2312659/havu-vs-esuba-binary-dragons-cup-7,True,True,False,5,0
4341,7/14/17,Cobblestone,5974,CT,10,4,6,0,7613,T,16,11,5,0,2312355/clg-vs-red-reserve-dreamhack-open-valencia-2017,False,True,False,1,0
4342,7/14/17,Cache,5974,CT,16,6,10,0,7613,T,14,9,5,0,2312355/clg-vs-red-reserve-dreamhack-open-valencia-2017,True,False,True,0,1
4343,7/14/17,Mirage,5974,T,24,9,6,9,7613,CT,28,6,9,13,2312355/clg-vs-red-reserve-dreamhack-open-valencia-2017,False,True,False,1,0
4344,7/14/17,Train,7155,CT,19,9,6,4,7217,T,17,6,9,2,2312667/pnda-vs-subtle-esea-premier-season-25-north-america,True,False,True,0,1
4345,7/14/17,Inferno,7606,CT,16,11,5,0,6573,T,4,4,0,0,2312673/vici-vs-wings-csgo-super-league-2017-summer-season,True,True,True,1,1
4346,7/14/17,Train,8049,T,8,7,1,0,7961,CT,16,8,8,0,2312670/district-7-vs-beacon-esea-premier-season-25-north-america,False,True,False,1,0
4347,7/14/17,Train,6673,CT,16,7,9,0,7613,T,9,8,1,0,2312353/nrg-vs-red-reserve-dreamhack-open-valencia-2017,True,False,True,0,1
4348,7/14/17,Cobblestone,6673,T,11,6,5,0,7613,CT,16,9,7,0,2312353/nrg-vs-red-reserve-dreamhack-open-valencia-2017,False,True,False,1,0
4349,7/14/17,Cache,6673,T,10,4,6,0,7613,CT,16,11,5,0,2312353/nrg-vs-red-reserve-dreamhack-open-valencia-2017,False,False,True,0,1
